Geneid	Chr	Start	End	Strand	Length	AC3R1
Gene_002819	Random_Chr_005	234359	234925	-	566	1962
Gene_002820	Random_Chr_005	235273	236044	-	771	2692
Gene_002821	Random_Chr_005	236290	237387	-	1097	319
Gene_002822	Random_Chr_005	237980	238880	+	900	344
Gene_002823	Random_Chr_005	239030	239434	-	404	26
Gene_002824	Random_Chr_005	240537	240609	-	72	0
Gene_002825	Random_Chr_005	240805	240877	-	72	0.33
Gene_002826	Random_Chr_005	241073	241145	-	72	0.83
Gene_002827	Random_Chr_005	241320	241392	-	72	0
Gene_002828	Random_Chr_005	241997	243012	+	1015	107
Gene_002829	Random_Chr_005	243014	243325	+	311	41
Gene_002830	Random_Chr_005	244101	244452	+	351	12
Gene_002831	Random_Chr_005	244478	245258	-	780	6
Gene_002832	Random_Chr_005	245470	245827	-	357	427
Gene_002833	Random_Chr_005	246012	247424	-	1412	604
Gene_002834	Random_Chr_005	247776	249835	+	2059	1717
Gene_002835	Random_Chr_005	250163	251765	+	1602	3
Gene_002836	Random_Chr_005	251851	251923	-	72	0
Gene_002837	Random_Chr_005	252008	252080	-	72	0
Gene_002838	Random_Chr_005	252179	253418	-	1239	793
Gene_002839	Random_Chr_005	253570	254452	-	882	239
Gene_002840	Random_Chr_005	254454	255157	-	703	429
Gene_002841	Random_Chr_005	255626	256879	-	1253	190
Gene_002842	Random_Chr_005	257072	257572	+	500	35
Gene_002843	Random_Chr_005	257679	259878	-	2199	1610
Gene_002844	Random_Chr_005	260003	260338	+	335	518
Gene_002845	Random_Chr_005	261090	261326	+	236	2813
Gene_002846	Random_Chr_005	261441	261721	+	280	130
Gene_002847	Random_Chr_005	261806	263259	-	1453	11323
Gene_002848	Random_Chr_005	263587	264509	-	922	2071
Gene_002849	Random_Chr_005	264612	268701	-	4089	3523
Gene_002850	Random_Chr_005	268884	270192	-	1308	1795
Gene_002851	Random_Chr_005	270194	272333	-	2139	1155
Gene_002852	Random_Chr_005	272930	273604	+	674	453
Gene_002853	Random_Chr_005	273779	274913	+	1134	1429
Gene_002854	Random_Chr_005	275148	276170	+	1022	317
Gene_002855	Random_Chr_005	276172	277677	-	1505	373
Gene_002856	Random_Chr_005	277892	278179	+	287	14
Gene_002857	Random_Chr_005	278615	279960	+	1345	1348
Gene_002858	Random_Chr_005	280127	280447	+	320	393
Gene_002859	Random_Chr_005	280556	282462	-	1906	1574
Gene_002860	Random_Chr_005	282464	284922	-	2458	1901
Gene_002861	Random_Chr_005	285143	285628	-	485	1
Gene_002862	Random_Chr_005	286133	287855	+	1722	740
Gene_002863	Random_Chr_005	287857	288815	+	958	221
Gene_002864	Random_Chr_005	288817	289548	+	731	189
Gene_002865	Random_Chr_005	289940	290320	-	380	5
Gene_002866	Random_Chr_005	290561	292666	-	2105	793
Gene_002867	Random_Chr_005	292837	293994	-	1157	1010
Gene_002868	Random_Chr_005	294225	296336	-	2111	420
Gene_002869	Random_Chr_005	296910	299143	-	2233	872
Gene_002870	Random_Chr_005	299880	302822	-	2942	1246
Gene_002871	Random_Chr_005	302994	303248	-	254	0
Gene_002872	Random_Chr_005	303641	305093	+	1452	244
Gene_002873	Random_Chr_005	305095	306064	+	969	1839
Gene_002874	Random_Chr_005	306589	309360	-	2771	284
Gene_002875	Random_Chr_005	309909	312308	+	2399	73
Gene_002876	Random_Chr_005	313117	315540	+	2423	553
Gene_002877	Random_Chr_005	315711	316244	+	533	127
Gene_002878	Random_Chr_005	316246	318384	-	2138	845
Gene_002879	Random_Chr_005	319339	321195	+	1856	1
Gene_002880	Random_Chr_005	321952	322771	-	819	61.67
Gene_002881	Random_Chr_005	323960	324907	+	947	2004
Gene_002882	Random_Chr_005	325412	325573	+	161	12
Gene_002883	Random_Chr_005	327727	328471	+	744	365
Gene_002884	Random_Chr_005	328591	331423	+	2832	44
Gene_002885	Random_Chr_005	331785	334529	-	2744	831
Gene_002886	Random_Chr_005	334721	335318	+	597	443
Gene_002887	Random_Chr_005	335398	337392	-	1994	925
Gene_002888	Random_Chr_005	337438	339074	+	1636	1183
Gene_002889	Random_Chr_005	339297	339793	-	496	728
Gene_002890	Random_Chr_005	340489	340695	-	206	2
Gene_002891	Random_Chr_005	340981	341523	-	542	15
Gene_002892	Random_Chr_005	342209	343409	+	1200	1017
Gene_002893	Random_Chr_005	343858	344346	+	488	2340
Gene_002894	Random_Chr_005	344815	346335	-	1520	5
Gene_002895	Random_Chr_005	347413	349943	+	2530	3934
Gene_002896	Random_Chr_005	350402	352828	+	2426	65
Gene_002897	Random_Chr_005	353110	354307	+	1197	0
Gene_002898	Random_Chr_005	357832	360571	-	2739	6
Gene_002899	Random_Chr_005	361169	365987	-	4818	254
Gene_002900	Random_Chr_005	366858	367978	+	1120	372
Gene_002901	Random_Chr_005	368121	369107	+	986	5
Gene_002902	Random_Chr_005	369254	370096	-	842	5
Gene_002903	Random_Chr_005	372522	373024	-	502	289
Gene_002904	Random_Chr_005	373026	373453	-	427	117
Gene_002905	Random_Chr_005	374004	376217	-	2213	886
Gene_002906	Random_Chr_005	376935	377489	+	554	11544
Gene_002907	Random_Chr_005	378352	378888	+	536	1419
Gene_002908	Random_Chr_005	379071	380578	+	1507	2637
Gene_002909	Random_Chr_005	380678	381166	-	488	327
Gene_002910	Random_Chr_005	382543	385750	+	3207	2729
Gene_002911	Random_Chr_005	385752	387373	+	1621	1628
Gene_002912	Random_Chr_005	387375	391540	+	4165	6932
Gene_002913	Random_Chr_005	391652	392287	+	635	6710
Gene_002914	Random_Chr_005	392505	393911	+	1406	3049
Gene_002915	Random_Chr_005	394033	395897	-	1864	1714
Gene_002916	Random_Chr_005	396155	397266	+	1111	6651
Gene_002917	Random_Chr_005	397291	398577	-	1286	2244
Gene_002918	Random_Chr_005	398692	399300	-	608	1
Gene_002919	Random_Chr_005	400122	400736	-	614	37
Gene_002920	Random_Chr_005	400917	401400	-	483	88
Gene_002921	Random_Chr_005	403200	403732	-	532	0
Gene_002922	Random_Chr_005	406540	407331	+	791	85
Gene_002923	Random_Chr_005	407730	408002	+	272	0
Gene_002924	Random_Chr_005	408835	410640	+	1805	2
Gene_002925	Random_Chr_005	410774	411746	+	972	2407
Gene_002926	Random_Chr_005	411748	413627	-	1879	2131
Gene_002927	Random_Chr_005	415901	417072	+	1171	1647
Gene_002928	Random_Chr_005	417199	418680	-	1481	4970
Gene_002929	Random_Chr_005	419148	420035	+	887	1007
Gene_002930	Random_Chr_005	420552	423673	+	3121	10355
Gene_002931	Random_Chr_005	423801	426407	+	2606	1069
Gene_002932	Random_Chr_005	426509	427139	+	630	87
Gene_002933	Random_Chr_005	427404	427733	-	329	1
Gene_002934	Random_Chr_005	427847	428113	+	266	32
Gene_002935	Random_Chr_005	428160	430500	-	2340	110
Gene_002936	Random_Chr_005	430502	432518	-	2016	1372
Gene_002937	Random_Chr_005	432635	434732	-	2097	2504
Gene_002938	Random_Chr_005	435045	435469	+	424	181
Gene_002939	Random_Chr_005	435792	436694	+	902	1
Gene_002940	Random_Chr_005	436753	437982	-	1229	2
Gene_002941	Random_Chr_005	438738	438810	-	72	0
Gene_002942	Random_Chr_005	439061	441843	+	2782	1768
Gene_002943	Random_Chr_005	442009	444009	+	2000	32
Gene_002944	Random_Chr_005	444051	444410	+	359	42
Gene_002945	Random_Chr_005	444639	445455	+	816	108
Gene_002946	Random_Chr_005	445710	446389	+	679	783
Gene_002947	Random_Chr_005	446391	447197	+	806	1148
Gene_002948	Random_Chr_005	447264	447992	+	728	1576
Gene_002949	Random_Chr_005	448382	448744	-	362	0
Gene_002950	Random_Chr_005	448870	449064	+	194	0
Gene_002951	Random_Chr_005	449744	450499	+	755	15856
Gene_002952	Random_Chr_005	450762	451705	+	943	1936
Gene_002953	Random_Chr_005	451767	452376	-	609	396
Gene_002954	Random_Chr_005	452508	453405	-	897	7327
Gene_002955	Random_Chr_005	453611	454513	-	902	1015
Gene_002956	Random_Chr_005	454863	457310	+	2447	890
Gene_002957	Random_Chr_005	457401	458867	-	1466	3934
Gene_002958	Random_Chr_005	459179	460063	-	884	15
Gene_002959	Random_Chr_005	460564	462097	+	1533	1539
Gene_002960	Random_Chr_005	462615	464052	+	1437	2015
Gene_002961	Random_Chr_005	464054	464549	+	495	604
Gene_002962	Random_Chr_005	464596	465411	-	815	1730
Gene_002963	Random_Chr_005	465557	467147	-	1590	196
Gene_002964	Random_Chr_005	468498	470063	-	1565	1284
Gene_002965	Random_Chr_005	470673	471520	-	847	574
Gene_002966	Random_Chr_005	471683	472767	+	1084	632
Gene_002967	Random_Chr_005	473028	474672	+	1644	1311
Gene_002968	Random_Chr_005	474720	475582	-	862	408
Gene_002969	Random_Chr_005	475852	476336	+	484	432
Gene_002970	Random_Chr_005	476338	476976	+	638	1133
Gene_002971	Random_Chr_005	477044	478492	+	1448	52
Gene_002972	Random_Chr_005	478494	479905	-	1411	1489
Gene_002973	Random_Chr_005	480123	481756	-	1633	790
Gene_002974	Random_Chr_005	481829	482919	-	1090	588
Gene_002975	Random_Chr_005	483125	484033	+	908	562
Gene_002976	Random_Chr_005	485365	485583	-	218	0
Gene_002977	Random_Chr_005	485780	486352	+	572	13
Gene_002978	Random_Chr_005	487010	487861	+	851	183
Gene_002979	Random_Chr_005	487962	489062	-	1100	7
Gene_002980	Random_Chr_005	489450	489755	+	305	61
Gene_002981	Random_Chr_005	491162	491574	-	412	120
Gene_002982	Random_Chr_005	492852	493526	+	674	114
Gene_002983	Random_Chr_005	493652	494311	-	659	72
Gene_002984	Random_Chr_005	494648	494947	-	299	28
Gene_002985	Random_Chr_005	495179	496466	+	1287	1131
Gene_002986	Random_Chr_005	497154	499512	-	2358	1935
Gene_002987	Random_Chr_005	499755	500585	-	830	206
Gene_002988	Random_Chr_005	500748	502134	-	1386	673
Gene_002989	Random_Chr_005	502336	502653	-	317	1
Gene_002990	Random_Chr_005	502933	503852	-	919	34
Gene_002991	Random_Chr_005	505508	506804	-	1296	1153
Gene_002992	Random_Chr_005	506891	507269	-	378	491
Gene_002993	Random_Chr_005	507363	508282	+	919	506
Gene_002994	Random_Chr_005	508284	513585	+	5301	1800
Gene_002995	Random_Chr_005	514184	515265	-	1081	786
Gene_002996	Random_Chr_005	515487	516271	+	784	1140
Gene_002997	Random_Chr_005	516693	516926	+	233	239
Gene_002998	Random_Chr_005	517798	518709	+	911	3695
Gene_002999	Random_Chr_005	518882	519474	+	592	663
Gene_003000	Random_Chr_005	519919	520625	+	706	1458
Gene_003001	Random_Chr_005	520719	521870	-	1151	1303
Gene_003002	Random_Chr_005	522764	525866	+	3102	6328
Gene_003003	Random_Chr_005	526840	527046	+	206	5
Gene_003004	Random_Chr_005	528485	528748	+	263	81.5
Gene_003005	Random_Chr_005	528945	536371	+	7426	1714.5
Gene_003006	Random_Chr_005	536841	538504	+	1663	7
Gene_003007	Random_Chr_005	538817	540492	+	1675	654
Gene_003008	Random_Chr_005	541208	541375	-	167	330
Gene_003009	Random_Chr_005	541516	543911	-	2395	2312
Gene_003010	Random_Chr_005	544017	544901	-	884	1467
Gene_003011	Random_Chr_005	545497	546411	+	914	12273
Gene_003012	Random_Chr_005	546582	547243	+	661	702
Gene_003013	Random_Chr_005	547295	548650	-	1355	690
Gene_003014	Random_Chr_005	550246	551197	+	951	3327
Gene_003015	Random_Chr_005	551310	553002	+	1692	1394
Gene_003016	Random_Chr_005	553004	555470	-	2466	1799
Gene_003017	Random_Chr_005	555966	557591	+	1625	16026
Gene_003018	Random_Chr_005	558482	560553	+	2071	168
Gene_003019	Random_Chr_005	560616	561695	-	1079	94
Gene_003020	Random_Chr_005	562167	563023	+	856	1626
Gene_003021	Random_Chr_005	563062	563469	-	407	3
Gene_003022	Random_Chr_005	564645	566205	-	1560	1296
Gene_003023	Random_Chr_005	566425	567739	+	1314	3402
Gene_003024	Random_Chr_005	567846	568925	-	1079	4
Gene_003025	Random_Chr_005	569167	569996	-	829	32
Gene_003026	Random_Chr_005	570132	570460	-	328	1124
Gene_003027	Random_Chr_005	570472	571059	+	587	6
Gene_003028	Random_Chr_005	571421	574194	-	2773	103
Gene_003029	Random_Chr_005	574514	575881	-	1367	1898
Gene_003030	Random_Chr_005	576208	579130	+	2922	1058
Gene_003031	Random_Chr_005	580023	582769	+	2746	167
Gene_003032	Random_Chr_005	582982	583580	+	598	728
Gene_003033	Random_Chr_005	583582	584645	-	1063	7366
Gene_003034	Random_Chr_005	584941	586611	-	1670	7944
Gene_003035	Random_Chr_005	587483	589406	+	1923	459
Gene_003036	Random_Chr_005	589487	592048	-	2561	840
Gene_003037	Random_Chr_005	592301	592674	-	373	722
Gene_003038	Random_Chr_005	592900	594591	-	1691	3066
Gene_003039	Random_Chr_005	597144	598119	+	975	1339
Gene_003040	Random_Chr_005	598577	600840	+	2263	159.5
Gene_003041	Random_Chr_005	601056	601805	+	749	56
Gene_003042	Random_Chr_005	602221	602940	-	719	0
Gene_003043	Random_Chr_005	603362	604087	-	725	1
Gene_003044	Random_Chr_005	604654	605975	-	1321	91
Gene_003045	Random_Chr_005	606252	606713	+	461	91
Gene_003046	Random_Chr_005	606979	607659	+	680	190
Gene_003047	Random_Chr_005	608226	608405	+	179	17
Gene_003048	Random_Chr_005	608505	608780	+	275	1
Gene_003049	Random_Chr_005	609017	609967	+	950	273
Gene_003050	Random_Chr_005	610409	615279	-	4870	4759
Gene_003051	Random_Chr_005	616956	619268	+	2312	1132
Gene_003052	Random_Chr_005	619385	621463	+	2078	2439
Gene_003053	Random_Chr_005	621509	622712	-	1203	1508
Gene_003054	Random_Chr_005	622975	624358	+	1383	461
Gene_003055	Random_Chr_005	624609	625323	-	714	171
Gene_003056	Random_Chr_005	625444	625854	-	410	72
Gene_003057	Random_Chr_005	626092	627359	-	1267	704
Gene_003058	Random_Chr_005	627477	628230	+	753	1384
Gene_003059	Random_Chr_005	628232	630466	-	2234	1407
Gene_003060	Random_Chr_005	630819	632740	-	1921	11
Gene_003061	Random_Chr_005	632960	633882	-	922	310
Gene_003062	Random_Chr_005	634027	634953	-	926	959
Gene_003063	Random_Chr_005	635167	636162	-	995	346
Gene_003064	Random_Chr_005	636337	637371	-	1034	340
Gene_003065	Random_Chr_005	637503	639110	-	1607	2103
Gene_003066	Random_Chr_005	639584	640576	+	992	1118
Gene_003067	Random_Chr_005	641897	642145	-	248	26
Gene_003068	Random_Chr_005	642238	647017	-	4779	2885
Gene_003069	Random_Chr_005	647223	647294	-	71	1
Gene_003070	Random_Chr_005	647562	647717	-	155	0
Gene_003071	Random_Chr_005	648123	648595	+	472	7508
Gene_003072	Random_Chr_005	648918	650682	-	1764	357
Gene_003073	Random_Chr_005	650869	652091	+	1222	539
Gene_003074	Random_Chr_005	653219	654705	-	1486	2188
Gene_003075	Random_Chr_005	655504	656223	+	719	1
Gene_003076	Random_Chr_005	656896	657317	+	421	1101
Gene_003077	Random_Chr_005	658049	658789	+	740	58
Gene_003078	Random_Chr_005	659157	660616	+	1459	15691
Gene_003079	Random_Chr_005	660756	661693	-	937	90
Gene_003080	Random_Chr_005	661747	663985	+	2238	3073
Gene_003081	Random_Chr_005	664127	667818	+	3691	5458
Gene_003082	Random_Chr_005	668018	668770	+	752	131
Gene_003083	Random_Chr_005	668836	669121	+	285	33
Gene_003084	Random_Chr_005	669740	669955	+	215	24
Gene_003085	Random_Chr_005	670132	670948	+	816	2016
Gene_003086	Random_Chr_005	670950	671405	+	455	133
Gene_003087	Random_Chr_005	671872	674836	-	2964	3079
Gene_003088	Random_Chr_005	675218	677007	+	1789	1642
Gene_003089	Random_Chr_005	677159	677971	+	812	196
Gene_003090	Random_Chr_005	678182	678985	+	803	5
Gene_003091	Random_Chr_005	679266	679827	+	561	8
Gene_003092	Random_Chr_005	679949	683509	-	3560	1506.58
Gene_003093	Random_Chr_005	686230	687087	+	857	552.33
Gene_003094	Random_Chr_005	688420	689429	-	1009	14
Gene_003095	Random_Chr_005	690598	691371	+	773	28
Gene_003096	Random_Chr_005	691940	693581	+	1641	1143
Gene_003097	Random_Chr_005	693713	695348	+	1635	1699
Gene_003098	Random_Chr_005	695350	696208	+	858	1197
Gene_003099	Random_Chr_005	696226	698759	-	2533	8013
Gene_003100	Random_Chr_005	698916	700653	+	1737	769
Gene_003101	Random_Chr_005	701341	702331	+	990	96
Gene_003102	Random_Chr_005	702392	703998	-	1606	1628
Gene_003103	Random_Chr_005	704232	704714	+	482	309
Gene_003104	Random_Chr_005	704716	705110	+	394	270
Gene_003105	Random_Chr_005	705112	706635	-	1523	127
Gene_003106	Random_Chr_005	706873	708192	-	1319	789
Gene_003107	Random_Chr_005	708357	711680	-	3323	1777
Gene_003108	Random_Chr_005	711864	712683	+	819	1289
Gene_003109	Random_Chr_005	712696	713889	-	1193	0
Gene_003110	Random_Chr_005	714118	715310	-	1192	6
Gene_003111	Random_Chr_005	715765	716933	-	1168	78
Gene_003112	Random_Chr_005	717537	718699	-	1162	66
Gene_003113	Random_Chr_005	719519	723715	-	4196	360
Gene_003114	Random_Chr_005	723835	724683	-	848	826
Gene_003115	Random_Chr_005	725385	727684	-	2299	502
Gene_003116	Random_Chr_005	728409	729876	-	1467	422
Gene_003117	Random_Chr_005	729947	730305	-	358	428
Gene_003118	Random_Chr_005	730502	732800	-	2298	3587
Gene_003119	Random_Chr_005	733308	733904	-	596	75
Gene_003120	Random_Chr_005	735090	735560	-	470	4778
Gene_003121	Random_Chr_005	735887	736533	+	646	854
Gene_003122	Random_Chr_005	737709	739793	-	2084	178
Gene_003123	Random_Chr_005	740558	743129	-	2571	10979
Gene_003124	Random_Chr_005	743380	744199	+	819	50
Gene_003125	Random_Chr_005	751848	752895	-	1047	1675
Gene_003126	Random_Chr_005	753120	753778	+	658	44
Gene_003127	Random_Chr_005	753955	757535	+	3580	215
Gene_003128	Random_Chr_005	758048	760084	-	2036	13
Gene_003129	Random_Chr_005	761765	763165	-	1400	896
Gene_003130	Random_Chr_005	763564	764979	+	1415	1226.5
Gene_003131	Random_Chr_005	765068	766523	+	1455	840
Gene_003132	Random_Chr_005	766745	767908	-	1163	299
Gene_003133	Random_Chr_005	768022	768582	-	560	476
Gene_003134	Random_Chr_005	769474	771911	+	2437	757
Gene_003135	Random_Chr_005	771973	774571	-	2598	108
Gene_003136	Random_Chr_005	775482	778825	-	3343	2272
Gene_003137	Random_Chr_005	779504	781134	+	1630	1169
Gene_003138	Random_Chr_005	781790	784064	+	2274	2420
Gene_003139	Random_Chr_005	784835	788912	-	4077	3281
Gene_003140	Random_Chr_005	789049	789713	-	664	130
Gene_003141	Random_Chr_005	789839	791103	+	1264	730
Gene_003142	Random_Chr_005	791270	792085	+	815	55
Gene_003143	Random_Chr_005	793135	795061	+	1926	1638
Gene_003144	Random_Chr_005	795620	796968	-	1348	2066
Gene_003145	Random_Chr_005	797086	799570	-	2484	2459
Gene_003146	Random_Chr_005	799988	801004	+	1016	170
Gene_003147	Random_Chr_005	801123	801512	-	389	638
Gene_003148	Random_Chr_005	802045	802200	-	155	450
Gene_003149	Random_Chr_005	802677	804136	+	1459	0
Gene_003150	Random_Chr_005	804285	805777	+	1492	179
Gene_003151	Random_Chr_005	805857	806846	-	989	351
Gene_003152	Random_Chr_005	807271	808158	+	887	249
Gene_003153	Random_Chr_005	808510	809206	+	696	0
Gene_003154	Random_Chr_005	811979	812753	+	774	49
Gene_003155	Random_Chr_005	814675	815127	+	452	257
Gene_003156	Random_Chr_005	815253	817635	+	2382	517.5
Gene_003157	Random_Chr_005	819075	820542	+	1467	49
Gene_003158	Random_Chr_005	820831	822391	+	1560	399.17
Gene_003159	Random_Chr_005	823336	824923	+	1587	513.5
Gene_003160	Random_Chr_005	825454	826991	+	1537	442
Gene_003161	Random_Chr_005	828303	829587	+	1284	55
Gene_003162	Random_Chr_005	830232	831667	+	1435	1
Gene_003163	Random_Chr_005	832243	833908	+	1665	128
Gene_003164	Random_Chr_005	834131	836681	+	2550	19
Gene_003165	Random_Chr_005	836747	838016	-	1269	409
Gene_003166	Random_Chr_005	838772	841419	+	2647	7
Gene_003167	Random_Chr_005	841490	843546	+	2056	17
Gene_003168	Random_Chr_005	843548	844578	-	1030	1532
Gene_003169	Random_Chr_005	844668	845992	+	1324	131
Gene_003170	Random_Chr_005	846881	848993	+	2112	1134
Gene_003171	Random_Chr_005	849040	851447	-	2407	2141
Gene_003172	Random_Chr_005	851530	851945	+	415	239
Gene_003173	Random_Chr_005	851947	852519	+	572	665
Gene_003174	Random_Chr_005	852654	854678	+	2024	122
Gene_003175	Random_Chr_005	855615	855869	+	254	485
Gene_003176	Random_Chr_005	856890	857444	+	554	1145
Gene_003177	Random_Chr_005	857515	858360	-	845	3
Gene_003178	Random_Chr_005	858599	859093	-	494	6
Gene_003179	Random_Chr_005	859287	864000	-	4713	650
Gene_003180	Random_Chr_005	864435	864813	+	378	338
Gene_003181	Random_Chr_005	864815	866304	+	1489	1903
Gene_003182	Random_Chr_005	866519	868361	+	1842	4455
Gene_003183	Random_Chr_005	868553	869532	-	979	837
Gene_003184	Random_Chr_005	869733	870375	-	642	272
Gene_003185	Random_Chr_005	870457	871449	-	992	304
Gene_003186	Random_Chr_005	871563	874557	+	2994	1819
Gene_003187	Random_Chr_005	875173	877810	-	2637	4837
Gene_003188	Random_Chr_005	880687	882145	+	1458	25
Gene_003189	Random_Chr_005	882188	882683	+	495	7
Gene_003190	Random_Chr_005	882744	885429	+	2685	104
Gene_003191	Random_Chr_005	885668	886285	+	617	2626
Gene_003192	Random_Chr_005	886620	888269	+	1649	26
Gene_003193	Random_Chr_005	888299	888861	-	562	10322
Gene_003194	Random_Chr_005	888992	890971	-	1979	152
Gene_003195	Random_Chr_005	891185	892477	-	1292	1002
Gene_003196	Random_Chr_005	892599	892943	+	344	852
Gene_003197	Random_Chr_005	892945	895364	-	2419	6398
Gene_003198	Random_Chr_005	895782	901538	+	5756	1152
Gene_003199	Random_Chr_005	901985	903279	+	1294	3
Gene_003200	Random_Chr_005	904116	904376	+	260	26
Gene_003201	Random_Chr_005	904974	905589	-	615	36
Gene_003202	Random_Chr_005	906162	906923	-	761	289
Gene_003203	Random_Chr_005	906978	907472	+	494	141
Gene_003204	Random_Chr_005	907965	908781	-	816	2
Gene_003205	Random_Chr_005	909465	911477	+	2012	131
Gene_003206	Random_Chr_005	912448	915721	+	3273	951
Gene_003207	Random_Chr_005	915759	916840	-	1081	677
Gene_003208	Random_Chr_005	917056	917522	-	466	758
Gene_003209	Random_Chr_005	917731	919074	+	1343	2481
Gene_003210	Random_Chr_005	920027	920338	+	311	0
Gene_003211	Random_Chr_005	921380	922075	+	695	194
Gene_003212	Random_Chr_005	922622	923919	-	1297	1863
Gene_003213	Random_Chr_005	924652	924894	+	242	5
Gene_003214	Random_Chr_005	926076	927650	-	1574	18
Gene_003215	Random_Chr_005	927722	929239	-	1517	42
Gene_003216	Random_Chr_005	930117	931392	+	1275	156
Gene_003217	Random_Chr_005	931869	933364	+	1495	32
Gene_003218	Random_Chr_005	933887	935076	+	1189	2490
Gene_003219	Random_Chr_005	935442	936284	-	842	588
Gene_003220	Random_Chr_005	936519	938716	+	2197	33
Gene_003221	Random_Chr_005	938718	939909	-	1191	997
Gene_003222	Random_Chr_005	939911	940376	-	465	85
Gene_003223	Random_Chr_005	940488	942480	-	1992	1390
Gene_003224	Random_Chr_005	942658	943107	+	449	140
Gene_003225	Random_Chr_005	943453	943992	+	539	2
Gene_003226	Random_Chr_005	944098	947197	+	3099	1442
Gene_003227	Random_Chr_005	947280	949433	+	2153	1226
Gene_003228	Random_Chr_005	950618	952777	-	2159	112
Gene_003229	Random_Chr_005	953075	953864	+	789	84
Gene_003230	Random_Chr_005	954153	954681	-	528	0
Gene_003231	Random_Chr_005	954762	958819	-	4057	2995
Gene_003232	Random_Chr_005	959104	961018	+	1914	21
Gene_003233	Random_Chr_005	961586	962821	-	1235	549
Gene_003234	Random_Chr_005	963128	963847	-	719	887
Gene_003235	Random_Chr_005	964016	965656	+	1640	8
Gene_003236	Random_Chr_005	965778	966541	-	763	110
Gene_003237	Random_Chr_005	967288	969567	+	2279	127
Gene_003238	Random_Chr_005	969877	971207	+	1330	2011
Gene_003239	Random_Chr_005	971209	971862	-	653	287
Gene_003240	Random_Chr_005	972722	977230	-	4508	129
Gene_003241	Random_Chr_005	978440	983935	-	5495	50
Gene_003242	Random_Chr_005	984311	987938	-	3627	58
Gene_003243	Random_Chr_005	988589	989749	+	1160	107
Gene_003244	Random_Chr_005	991574	992869	+	1295	1676
Gene_003245	Random_Chr_005	993069	994412	+	1343	1123
Gene_003246	Random_Chr_005	995201	995672	+	471	71
Gene_003247	Random_Chr_005	996305	997193	-	888	530
Gene_003248	Random_Chr_005	997195	1000702	-	3507	1739
Gene_003249	Random_Chr_005	1001444	1002886	+	1442	38
Gene_003250	Random_Chr_005	1002925	1003414	-	489	307
Gene_003251	Random_Chr_005	1003416	1005733	-	2317	1748
Gene_003252	Random_Chr_005	1006415	1007667	+	1252	2589
Gene_003253	Random_Chr_005	1008780	1009650	+	870	2
Gene_003254	Random_Chr_005	1009866	1011212	+	1346	1850
Gene_003255	Random_Chr_005	1012460	1012741	-	281	90
Gene_003256	Random_Chr_005	1012941	1017241	+	4300	82
Gene_003257	Random_Chr_005	1017307	1019359	+	2052	1105
Gene_003258	Random_Chr_005	1019372	1020383	-	1011	1015
Gene_003259	Random_Chr_005	1020420	1021168	+	748	140
Gene_003260	Random_Chr_005	1021424	1024044	-	2620	76
Gene_003261	Random_Chr_005	1024698	1025264	-	566	19
Gene_003262	Random_Chr_005	1025595	1026488	-	893	23
Gene_003263	Random_Chr_005	1026956	1027467	+	511	425
Gene_003264	Random_Chr_005	1027885	1028483	-	598	394
Gene_003265	Random_Chr_005	1028662	1029424	+	762	385
Gene_003266	Random_Chr_005	1029437	1029843	-	406	1041
Gene_003267	Random_Chr_005	1029882	1032615	+	2733	1987
Gene_003268	Random_Chr_005	1032617	1035326	-	2709	331
Gene_003269	Random_Chr_005	1035484	1036848	-	1364	1808
Gene_003270	Random_Chr_005	1037011	1039473	+	2462	1752
Gene_003271	Random_Chr_005	1039602	1040918	+	1316	1123
Gene_003272	Random_Chr_005	1041334	1042044	+	710	3
Gene_003273	Random_Chr_005	1042207	1044564	+	2357	6
Gene_003274	Random_Chr_005	1045774	1047357	+	1583	6
Gene_003275	Random_Chr_005	1048724	1049560	+	836	3
Gene_003276	Random_Chr_005	1049603	1051081	+	1478	13
Gene_003277	Random_Chr_005	1051479	1056059	+	4580	123
Gene_003278	Random_Chr_005	1056577	1058865	+	2288	2226
Gene_003279	Random_Chr_005	1059081	1060855	-	1774	1986
Gene_003280	Random_Chr_005	1061166	1061901	+	735	407
Gene_003281	Random_Chr_005	1062138	1062911	-	773	1971
Gene_003282	Random_Chr_005	1063135	1063779	-	644	1975
Gene_003283	Random_Chr_005	1063881	1064893	-	1012	493
Gene_003284	Random_Chr_005	1065239	1066228	+	989	37
Gene_003285	Random_Chr_005	1066488	1067866	-	1378	562
Gene_003286	Random_Chr_005	1068219	1068290	+	71	0
Gene_003287	Random_Chr_005	1069243	1069887	-	644	330
Gene_003288	Random_Chr_005	1070029	1070554	+	525	183
Gene_003289	Random_Chr_005	1070644	1071415	+	771	74
Gene_003290	Random_Chr_005	1071567	1072572	+	1005	898
Gene_003291	Random_Chr_005	1073696	1075038	+	1342	682
Gene_003292	Random_Chr_005	1075380	1076109	-	729	1424
Gene_003293	Random_Chr_005	1076242	1077600	-	1358	1498
Gene_003294	Random_Chr_005	1077861	1078345	+	484	214
Gene_003295	Random_Chr_005	1078347	1080303	+	1956	1618
Gene_003296	Random_Chr_005	1080352	1082304	-	1952	1918
Gene_003297	Random_Chr_005	1082867	1083343	+	476	1025
